uid,item,item_no,verdict,rationale
7,S.1 study design category not determinable,,CT,"본문 텍스트 없이 저작권 고지 3줄만 존재, 연구설계 판정 불가"
7,S.2 study design category not determinable,,CT,"본문 텍스트 없이 저작권 고지 3줄만 존재, 측정 정보 확인 불가"
7,S.3 study design category not determinable,,CT,"본문 텍스트 없이 저작권 고지 3줄만 존재, 결과자료 확인 불가"
7,S.4 study design category not determinable,,CT,"본문 텍스트 없이 저작권 고지 3줄만 존재, 교란 통제 확인 불가"
7,S.5 study design category not determinable,,CT,"본문 텍스트 없이 저작권 고지 3줄만 존재, 노출 시행 확인 불가"
14,3.1 participants representative of the target population,3.1,Y,"Procedure-The subjects: 20-45세 단독 보행자 포괄 선정, 거주·통행빈도 사후 점검으로 대표성 확보"
14,3.2 measurements appropriate regarding outcome and exposure,3.2,Y,"Table 1-2: dBA·보행·교통량 실측, 4개 요청별 관찰지침으로 행동 코딩"
14,3.3 complete outcome data,3.3,Y,"Table 3-5: 450+450+365=1265로 본문 총관찰수와 일치, 탈락 없음"
14,3.4 confounders accounted for in design and analysis,3.4,CT,성별·연령·단독 여부는 설계 통제하나 요일·시간대·기상 언급 없음
14,3.5 exposure/intervention administered as intended,3.5,Y,"Choice of sites: 공사 소음 85-95 dBA 실측 확인, 3조건 명확히 구현"
53,3.1 participants representative of the target population,3.1,CT,"2.1.1 Participants: 시각장애 6·5·7명 등 소표본, 모집 절차·표집틀 미기술"
53,3.2 measurements appropriate regarding outcome and exposure,3.2,Y,"2.1.2 Apparatus: 신호 72 dB-C·교통소음 70 dBA 교정, 측방편차 0.1 m 단위 기록"
53,3.3 complete outcome data,3.3,N,3.2 Results: 실험2 평행횡단 좌우 정보가 다수 시행에서 미기록되어 사후 대체분석 사용
53,3.4 confounders accounted for in design and analysis,3.4,Y,"2.2: 연령차를 ANCOVA로 보정, 청력 스크리닝·블록 순서 균형 배치"
53,3.5 exposure/intervention administered as intended,3.5,Y,"4.1.2: 보행신호 7초·로케이터톤 사양 규정대로 재생, 초기 정렬 ±15도 통제"
71,4.1 sampling strategy relevant to address research question,4.1,Y,"2.3 Participants: 1625가구서 18-75세 1인 선정 후 60-68 dB 노출자로 한정, 질문에 부합"
71,4.2 sample representative of the target population,4.2,CT,"2.3: 956명 중 500명만 사용하고 3개 지역 한정, 비응답자 특성 미제시"
71,4.3 measurements appropriate,4.3,Y,"2.2/2.4: LAeq,24h 실측·계산, 0-10 소음성가심 척도 등 기존 검증 문항 사용"
71,4.4 risk of nonresponse bias low,4.4,N,"2.3 Participants: 응답률 59%, 무응답자 대비 분석 없어 편의 배제 불가"
71,4.5 statistical analysis appropriate to answer research question,4.5,Y,3.2: MANOVA 가정검정(Box's M·Bartlett) 후 ANOVA·효과크기 제시
121,3.1 participants representative of the target population,3.1,Y,2.3 Dropouts: 최종 방문자 표본이 성별·연령·학력에서 현장조사 표본과 일치함을 확인
121,3.2 measurements appropriate regarding outcome and exposure,3.2,N,"4.7 Discussion: 개인 소음노출 확보 불가 명시, 성가심도 4점 척도로 축소"
121,3.3 complete outcome data,3.3,N,"Table 1: 방문자 1600->900, 1620->971 등 40% 이상 탈락, 탈락자 체계적 차이 확인"
121,3.4 confounders accounted for in design and analysis,3.4,Y,"2.4: 비이용 사유·지역품질 지수·이전경험을 다변량 모형에 통제, 계절은 조사시기 일치로 통제"
121,3.5 exposure/intervention administered as intended,3.5,Y,2.1 Study Areas: 구공항 폐쇄·신공항 확장이라는 실제 노출 변화가 계획대로 발생
123,4.1 sampling strategy relevant to address research question,4.1,CT,2.1 Field survey: 19개 사이트 선정은 기술되나 응답자 표집 절차·규모 전혀 미보고
123,4.2 sample representative of the target population,4.2,CT,"2.1: 다양한 사회집단 포함이라고만 서술, 표본 규모·인구 대비 비교 자료 없음"
123,4.3 measurements appropriate,4.3,N,"2.1: 선호를 3점 척도로 측정, 일부 사이트는 미청취 음원까지 평가해 측정 비일관"
123,4.4 risk of nonresponse bias low,4.4,CT,2.1: 접촉·거절 건수 및 응답률이 논문 전체에 보고되지 않음
123,4.5 statistical analysis appropriate to answer research question,4.5,N,"3장-6장: 사이트x음원x요인 수백 회 상관·t검정을 보정 없이 반복, 다변량 모형 부재"
271,5.1 adequate rationale for using a mixed methods design,5.1,Y,Research Methodology: 학제간 연구질문 특성으로 혼합설계 채택을 명시적으로 정당화
271,5.2 components effectively integrated to answer research question,5.2,N,"Findings: 물리·소리·행동 매핑 결과를 각각 분리 제시, 소음자료와 행동자료 연계 없음"
271,5.3 outputs of integration adequately interpreted,5.3,N,Discussion: 소음이 원인으로 보인다는 서술적 해석만 있고 통합 산출물 부재
271,5.4 divergences and inconsistencies adequately addressed,5.4,N,정성·정량 결과 간 불일치에 대한 검토가 논문 어디에도 없음
271,5.5 components adhere to quality criteria of each tradition,5.5,N,"Findings: 관찰자 신뢰도·행동 조작정의·음압레벨 수치 모두 미보고, 정성 분석절차 부재"
323,3.1 participants representative of the target population,3.1,Y,"2.1 Study Area: 은닉관찰로 해당 공간 이용자 전수를 포착, 자기선택 편의 없음"
323,3.2 measurements appropriate regarding outcome and exposure,3.2,Y,"2.2-2.3: 배경소음 10지점 실측 60.7 dBA·SPL 시뮬레이션, BORIS 에소그램으로 체류시간 코딩"
323,3.3 complete outcome data,3.3,Y,"Table 1: 4조건 각 180분·72개 슬롯 전량 분석, 결측 보고 없음"
