kind,row,col,n
domain_x_source,movement,교통/도로소음,24
domain_x_source,movement,일반 소음,2
domain_x_source,movement,자연음,12
domain_x_source,movement,음악/부가음,16
domain_x_source,movement,인간·군중음,15
domain_x_source,movement,기타·미상,4
domain_x_source,staying,교통/도로소음,14
domain_x_source,staying,일반 소음,1
domain_x_source,staying,자연음,14
domain_x_source,staying,음악/부가음,13
domain_x_source,staying,인간·군중음,11
domain_x_source,staying,기타·미상,3
domain_x_source,space-use,교통/도로소음,26
domain_x_source,space-use,일반 소음,4
domain_x_source,space-use,자연음,18
domain_x_source,space-use,음악/부가음,15
domain_x_source,space-use,인간·군중음,12
domain_x_source,space-use,항공기소음,2
domain_x_source,space-use,기타·미상,11
domain_x_source,social,교통/도로소음,24
domain_x_source,social,일반 소음,4
domain_x_source,social,자연음,17
domain_x_source,social,음악/부가음,12
domain_x_source,social,인간·군중음,6
domain_x_source,social,기타·미상,4
domain_x_source,activity,교통/도로소음,24
domain_x_source,activity,일반 소음,3
domain_x_source,activity,자연음,18
domain_x_source,activity,음악/부가음,12
domain_x_source,activity,인간·군중음,8
domain_x_source,activity,항공기소음,2
domain_x_source,activity,기타·미상,9
direction_x_domain,movement,forward,33
direction_x_domain,movement,both,3
direction_x_domain,movement,reverse,8
direction_x_domain,staying,forward,16
direction_x_domain,staying,both,5
direction_x_domain,staying,reverse,8
direction_x_domain,space-use,forward,26
direction_x_domain,space-use,reverse,23
direction_x_domain,space-use,both,5
direction_x_domain,social,forward,20
direction_x_domain,social,both,6
direction_x_domain,social,reverse,14
direction_x_domain,activity,forward,18
direction_x_domain,activity,reverse,21
direction_x_domain,activity,both,6
generation_x_band,≤2009,G1,1
generation_x_band,≤2009,G2,3
generation_x_band,≤2009,G3,0
generation_x_band,2010–2019,G1,14
generation_x_band,2010–2019,G2,11
generation_x_band,2010–2019,G3,4
generation_x_band,2020–,G1,39
generation_x_band,2020–,G2,28
generation_x_band,2020–,G3,20
